#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VOG6218              -          Ga0247723_1000001_37 -            9.6e-08   31.5   2.1   1.5e-07   30.9   2.1   1.2   1   0   0   1   1   1   1 -
VOG3235              -          Ga0247723_1000001_39 -            4.7e-81  271.4   0.5   5.1e-81  271.3   0.5   1.0   1   0   0   1   1   1   1 -
VOG5369              -          Ga0247723_1000001_51 -            2.8e-13   49.5   2.2   1.3e-11   44.1   2.2   2.1   1   1   0   1   1   1   1 -
VOG6388              -          Ga0247723_1000001_54 -            2.4e-07   29.8   0.2     3e-07   29.5   0.2   1.1   1   0   0   1   1   1   1 -
VOG6930              -          Ga0247723_1000001_55 -            5.8e-10   38.5   0.0   6.4e-10   38.4   0.0   1.1   1   0   0   1   1   1   1 -
VOG4119              -          Ga0247723_1000001_63 -            1.9e-54  183.3   1.9   2.1e-54  183.2   1.9   1.0   1   0   0   1   1   1   1 -
VOG4680              -          Ga0247723_1000001_64 -              4e-08   31.2   2.2   5.9e-08   30.6   2.2   1.2   1   0   0   1   1   1   1 -
VOG5332              -          Ga0247723_1000001_68 -            1.4e-38  132.1   1.6   1.6e-38  131.9   1.6   1.1   1   0   0   1   1   1   1 -
VOG8021              -          Ga0247723_1000001_71 -           2.4e-161  537.3  14.0   9.8e-90  300.5   2.8   2.0   1   1   1   2   2   2   2 -
VOG0996              -          Ga0247723_1000001_71 -            2.9e-16   58.9  11.6   2.1e-08   33.1   0.1   3.1   3   1   0   3   3   3   2 -
VOG5775              -          Ga0247723_1000001_71 -              4e-10   37.8   0.9   5.4e-07   27.5   0.0   3.1   2   1   1   3   3   3   2 -
VOG0189              -          Ga0247723_1000001_71 -            1.2e-09   37.4   4.0   0.00011   21.1   2.8   3.2   2   1   0   2   2   2   2 -
VOG3343              -          Ga0247723_1000001_71 -            1.1e-06   27.5   1.6    0.0065   15.2   0.1   3.1   2   1   1   3   3   3   2 -
VOG2406              -          Ga0247723_1000001_71 -              2e-06   26.0   8.7    0.0076   14.2   0.0   3.6   3   1   0   3   3   3   3 -
VOG0322              -          Ga0247723_1000001_71 -            3.4e-06   26.3   0.9   0.00096   18.3   0.1   3.0   3   0   0   3   3   3   2 -
VOG0377              -          Ga0247723_1000001_71 -            8.1e-06   24.5   0.1   8.1e-06   24.5   0.1   3.7   3   1   1   4   4   4   2 -
VOG5709              -          Ga0247723_1000001_73 -            4.8e-15   54.7   2.6   5.5e-15   54.5   2.6   1.1   1   0   0   1   1   1   1 -
VOG8063              -          Ga0247723_1000001_73 -            4.2e-08   32.3   0.2   4.4e-08   32.3   0.2   1.0   1   0   0   1   1   1   1 -
VOG4544              -          Ga0247723_1000001_78 -            3.2e-24   85.6   2.8   4.2e-24   85.2   2.8   1.1   1   0   0   1   1   1   1 -
VOG5779              -          Ga0247723_1000001_78 -              4e-20   71.3   0.0     1e-19   69.9   0.0   1.6   1   0   0   1   1   1   1 -
VOG1001              -          Ga0247723_1000001_80 -            1.2e-67  227.7   5.5   3.7e-67  226.1   5.5   1.6   1   1   0   1   1   1   1 -
VOG9192              -          Ga0247723_1000001_80 -            1.6e-24   85.3   1.0   5.8e-19   67.0   0.1   2.1   2   0   0   2   2   2   2 -
VOG0351              -          Ga0247723_1000001_85 -            1.3e-41  141.4   0.0   1.6e-41  141.1   0.0   1.1   1   0   0   1   1   1   1 -
VOG0466              -          Ga0247723_1000001_88 -            2.8e-66  223.5   0.0   9.2e-53  179.0   0.0   2.1   2   0   0   2   2   2   2 -
VOG1006              -          Ga0247723_1000001_101 -            6.8e-07   28.5  13.8     6e-06   25.4  13.1   2.3   1   1   1   2   2   2   2 -
VOG0058              -          Ga0247723_1000001_106 -            4.4e-62  208.9   1.4   5.7e-62  208.5   1.4   1.0   1   0   0   1   1   1   1 -
